
Technique,Test RMSE,Test MAE,Test R²,CV RMSE Mean,CV RMSE Std,Selected Alpha,Non-zero Coefs
Random Forest,13069352.613,10003334.637,0.7317,13069352.613,0.0,,
Gradient Boosting,13400805.391,10330596.585,0.7179,13400805.391,0.0,,
Ridge Regression,13579462.353,10467538.23,0.7103,13564853.734,87913.021,0.3727593720314938,
Lasso Regression,13581470.405,10469204.665,0.7102,13570938.545,86502.966,10.0,52.0
Linear Regression,13996861.028,10921635.299,0.6922,14500167.315,21099.225,,
