Brand,Model,Vehicle Class,CO₂ g/km (max),Engine Size L,Price Proxy CAD,CA Sales 2026 Jan–Feb,CA Brand Total,CA Sales Share,Fuel Type [CA],Transmission [CA],Class Avg CO₂,Class Avg MPG,Class Avg Engine L,Class Avg Cylinders,Demand Target Units,Revenue Target CAD,Brand Benchmark CAD,Price Index (class),Powertrain Type,Cylinders,Max Power PS (max),Max Torque Nm (max),Drive Config,Seats (max),co2_penalty,price_penalty,engine_penalty,business_score,business_index,business_rank,cluster
NISSAN,KICKS,Subcompact SUV,169.0,1.6,22612.8999396396,2379.0,9331.0,0.2549565962919301,X,AV,197.065491183879,35.0856423173804,2.68539042821158,4.83123425692695,86093.7220155494,1946828721.36876,23898.0,0.946225623049609,Petrol,4.0,143.0,190.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.004405286343612335,0.06792947217881119,0.02380952380952383,0.03051959887911423,96.94804011208858,1,2
NISSAN,JUKE,Subcompact SUV,209.0,1.6,19004.0929557149,,,,X / Z,AV / AV7 / AV8 / M6,192.4375,34.8020833333333,1.86458333333333,4.08333333333333,40191.6445397836,763805748.8771,35000.0,0.795216878220559,Hybrid Electric (HEV) / Petrol,4.0,218.0,280.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.18061674008810572,0.0,0.02380952380952383,0.08603943780155235,91.39605621984477,2,2
NISSAN,QASHQAI,Subcompact SUV,217.0,2.0,19004.0929557149,,,,X,AV / AV7 / AV8 / M6,192.4375,34.8020833333333,1.86458333333333,4.08333333333333,37928.5623219318,720797924.042619,31350.0,0.795216878220559,Hybrid Electric (HEV) / Petrol,4.0,190.0,330.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.21585903083700442,0.0,0.11904761904761904,0.1209460876861758,87.90539123138242,3,2
NISSAN,ROGUE,Compact SUV,205.0,2.5,23831.8739948157,3583.0,9331.0,0.38398885435644625,X,AV,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,57508.8510084994,1370543690.82119,23898.0,0.997232989991451,Petrol,4.0,204.0,305.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.16299559471365638,0.09087452425187198,0.23809523809523808,0.15277314872834818,84.72268512716519,4,2
HONDA,HR-V,Subcompact SUV,200.0,1.8,31229.3483145723,1659.0,15583.0,0.1064621703138035,X,AV / AV7 / M6,225.090395480226,34.8020833333333,2.7225988700565,4.74011299435028,58746.7102745723,1834621477.49988,31316.0,0.997232989991451,Hybrid Electric (HEV) / Petrol,4.0,182.0,240.0,"FF (Front-Engine, Front-Wheel Drive)",5.0,0.14096916299559473,0.23011902478508786,0.07142857142857144,0.15826349630851266,84.17365036914873,5,2
MITSUBISHI,ECLIPSE CROSS,Compact SUV,216.0,1.5,29715.5486357652,409.0,3195.0,0.12801251956181534,X,AV8,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,56662.8588227157,1683767937.18791,29798.0,0.997232989991451,Petrol,4.0,154.0,250.0,"FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.21145374449339208,0.2016243966091062,0.0,0.16572272383521358,83.42772761647865,6,2
MAZDA,CX-30,Subcompact SUV,208.0,2.5,25180.1329972841,2485.0,9613.0,0.2585041090190367,X,AS6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,69751.2943408794,1756346868.23606,25250.0,0.997232989991451,Petrol,4.0,158.0,202.0,"FF (Front-Engine, Front-Wheel Drive)",5.0,0.1762114537444934,0.11625313907000377,0.23809523809523808,0.16760280047857096,83.2397199521429,7,2
SUBARU,CROSSTREK,Subcompact SUV,214.0,2.0,29612.83363779614,5143.0,10038.0,0.512353058378163,X,AV | M5 | AV6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,64530.2239847716,1910922787.4707634,29695.0,0.997232989991451,Hybrid Electric (HEV) / Petrol,4.0,197.0,241.0,"FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.2026431718061674,0.19969096663405722,0.11904761904761904,0.18489078944421913,81.5109210555781,8,2
TOYOTA,RAV4,Compact SUV,226.0,2.5,23604.5048730976,3022.0,19154.0,0.15777383314190246,X,AS6 / AS8 / AV / AV6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,99624.8148554139,2351594427.73607,23670.0,0.997232989991451,Hybrid Electric (HEV) / Petrol / Plug-in Hybrid Electric (PHEV),4.0,306.0,366.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.2555066079295154,0.08659469867603212,0.23809523809523808,0.19290516572394079,80.70948342760592,9,2
MAZDA,CX-5,Compact SUV,230.0,2.5,25180.1329972841,3888.0,9613.0,0.4044523041714345,D / X,AS6 / M6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,70704.7777155547,1780355706.42108,25250.0,0.997232989991451,Petrol,4.0,196.0,252.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.27312775330396477,0.11625313907000377,0.23809523809523808,0.2112151352803331,78.8784864719667,10,2
